#position_x	position_y	position_z	radius	msat
8.1e+08	0	0	1.0252788924075186e-08	400000
8.2e+08	0	0	1.169211472124868e-08	400000
8.3e+08	0	0	1.8732135328079354e-08	400000
8.4e+08	0	0	1.6565341368484954e-08	400000
8.5e+08	0	0	9.924189700700057e-09	400000
8.6e+08	0	0	1.2336284031919068e-08	400000
8.7e+08	0	0	1.4540016634203849e-08	400000
8.8e+08	0	0	5.173347604391346e-09	400000
8.9e+08	0	0	1.239515601000479e-08	400000
9e+08	0	0	1.2507248804575876e-08	400000
9.1e+08	0	0	5.231826640614168e-09	400000
9.2e+08	0	0	8.099561587817008e-09	400000
9.3e+08	0	0	9.902052408216051e-09	400000
9.4e+08	0	0	1.020054098648592e-08	400000
9.5e+08	0	0	1.0578491115808354e-08	400000
9.6e+08	0	0	8.49597812216447e-09	400000
9.7e+08	0	0	7.1375495318798744e-09	400000
9.8e+08	0	0	5.468571557226282e-09	400000
9.9e+08	0	0	8.459723443067609e-09	400000
1e+09	0	0	1.009724239392921e-08	400000
1.01e+09	0	0	9.053251569735765e-09	400000
1.02e+09	0	0	1.190257228018397e-08	400000
1.03e+09	0	0	1.578645801888233e-08	400000
1.04e+09	0	0	9.59910513318927e-09	400000
1.05e+09	0	0	1.524006692990823e-08	400000
1.06e+09	0	0	1.1078462989156596e-08	400000
1.07e+09	0	0	1.5672020070278833e-08	400000
1.08e+09	0	0	1.2100576505439276e-08	400000
1.09e+09	0	0	1.0506859147322478e-08	400000
1.1e+09	0	0	1.2708391388403194e-08	400000
1.11e+09	0	0	5.789435186862202e-09	400000
1.12e+09	0	0	1.2138958616714525e-08	400000
1.13e+09	0	0	6.1829216823372774e-09	400000
1.14e+09	0	0	1.0021317646612052e-08	400000
1.15e+09	0	0	6.819612380297313e-09	400000
1.16e+09	0	0	1.0673535898448005e-08	400000
1.17e+09	0	0	1.1970453172058136e-08	400000
1.18e+09	0	0	1.5157403567657017e-08	400000
1.19e+09	0	0	6.776299646088751e-09	400000
1.2e+09	0	0	1.1794395817110143e-08	400000
1.21e+09	0	0	1.4775123853851931e-08	400000
1.22e+09	0	0	6.988397980692525e-09	400000
1.23e+09	0	0	7.330140809108046e-09	400000
1.24e+09	0	0	9.993713469609439e-09	400000
1.25e+09	0	0	8.500704639875622e-09	400000
1.26e+09	0	0	8.66068019772072e-09	400000
1.27e+09	0	0	1.5221980941680527e-08	400000
1.28e+09	0	0	1.0460267165706404e-08	400000
1.29e+09	0	0	7.2525276462900615e-09	400000
1.3e+09	0	0	5.489739514335517e-09	400000
1.31e+09	0	0	1.581879093009679e-08	400000
1.32e+09	0	0	1.0087549358613553e-08	400000
1.33e+09	0	0	1.2295506704414039e-08	400000
1.34e+09	0	0	5.21357254755521e-09	400000
1.35e+09	0	0	1.3491271592947981e-08	400000
1.36e+09	0	0	1.0685793614836976e-08	400000
1.37e+09	0	0	6.935936214564399e-09	400000
1.38e+09	0	0	7.24780894081234e-09	400000
1.39e+09	0	0	8.602067914563822e-09	400000
1.4e+09	0	0	8.575985264194057e-09	400000
1.41e+09	0	0	8.986684353773902e-09	400000
1.42e+09	0	0	1.8168586864100783e-08	400000
1.43e+09	0	0	7.303083787323745e-09	400000
1.44e+09	0	0	1.0631131966556793e-08	400000
1.45e+09	0	0	1.4205632819490472e-08	400000
1.46e+09	0	0	1.176984737514993e-08	400000
1.47e+09	0	0	1.1459204799438787e-08	400000
1.48e+09	0	0	6.994811327374593e-09	400000
1.49e+09	0	0	9.188170844461884e-09	400000
1.5e+09	0	0	7.93748782373785e-09	400000
1.51e+09	0	0	5.18825846738356e-09	400000
1.52e+09	0	0	1.2534722482464503e-08	400000
1.53e+09	0	0	7.1830175530898905e-09	400000
1.54e+09	0	0	9.745506883549082e-09	400000
1.55e+09	0	0	4.241118228510162e-09	400000
1.56e+09	0	0	1.5990517901811464e-08	400000
1.57e+09	0	0	7.84088487716554e-09	400000
1.58e+09	0	0	8.803205945069036e-09	400000
1.59e+09	0	0	8.941522360680631e-09	400000
1.6e+09	0	0	7.48150220543315e-09	400000
1.61e+09	0	0	1.2371751946630097e-08	400000
1.62e+09	0	0	1.1179527413970558e-08	400000
1.63e+09	0	0	1.0973782331395335e-08	400000
1.64e+09	0	0	9.085557918619458e-09	400000
1.65e+09	0	0	7.61333777097874e-09	400000
1.66e+09	0	0	1.417180927988495e-08	400000
1.67e+09	0	0	1.6417404403999048e-08	400000
1.68e+09	0	0	8.064434363942699e-09	400000
1.69e+09	0	0	9.25203254020627e-09	400000
1.7e+09	0	0	1.0029575527320546e-08	400000
1.71e+09	0	0	1.773461953758346e-08	400000
1.72e+09	0	0	8.67324846954168e-09	400000
1.73e+09	0	0	1.0156769483716495e-08	400000
