#position_x	position_y	position_z	radius	msat
1.2e+09	0	0	1.2776550235631056e-08	400000
1.21e+09	0	0	2.7137503479242356e-08	400000
1.22e+09	0	0	2.2632960071190153e-08	400000
1.23e+09	0	0	1.7356708071802573e-08	400000
1.24e+09	0	0	2.012755155717737e-08	400000
1.25e+09	0	0	3.425325297711831e-08	400000
1.26e+09	0	0	3.3867108055075633e-08	400000
1.27e+09	0	0	2.2562617802032984e-08	400000
1.28e+09	0	0	1.808533500225452e-08	400000
1.29e+09	0	0	3.027395482924206e-08	400000
1.3e+09	0	0	1.7063180626584374e-08	400000
1.31e+09	0	0	1.6798132183606238e-08	400000
1.32e+09	0	0	1.4869058570209435e-08	400000
1.33e+09	0	0	2.8710630920574865e-08	400000
1.34e+09	0	0	2.5866299180038478e-08	400000
1.35e+09	0	0	3.210362342460498e-08	400000
1.36e+09	0	0	2.8350841701919335e-08	400000
1.37e+09	0	0	3.268539234737708e-08	400000
1.38e+09	0	0	2.0801286233943367e-08	400000
1.39e+09	0	0	1.4291273969000058e-08	400000
1.4e+09	0	0	2.2123958292265714e-08	400000
1.41e+09	0	0	2.1908409546386813e-08	400000
1.42e+09	0	0	1.0309103641770444e-08	400000
1.43e+09	0	0	4.2752142861357674e-08	400000
1.44e+09	0	0	2.078106131188749e-08	400000
1.45e+09	0	0	1.4881667289414506e-08	400000
1.46e+09	0	0	1.722762342579006e-08	400000
1.47e+09	0	0	3.296303214104411e-08	400000
1.48e+09	0	0	3.608531295317485e-08	400000
1.49e+09	0	0	3.076260415151925e-08	400000
1.5e+09	0	0	3.271520959263685e-08	400000
1.51e+09	0	0	2.3724552278532655e-08	400000
1.52e+09	0	0	1.814478839203439e-08	400000
1.53e+09	0	0	3.398969654462076e-08	400000
1.54e+09	0	0	2.759358848938871e-08	400000
1.55e+09	0	0	2.460349038722122e-08	400000
1.56e+09	0	0	2.6566047671698397e-08	400000
1.57e+09	0	0	4.197829710748585e-08	400000
1.58e+09	0	0	2.2020913581860993e-08	400000
1.59e+09	0	0	2.7679860405846296e-08	400000
1.6e+09	0	0	1.6429028178639947e-08	400000
1.61e+09	0	0	3.4330932711583164e-08	400000
1.62e+09	0	0	2.2499818321413433e-08	400000
